epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.0666,4.12624,4.34552,3.38718,0.13987,0.26345,0.13001,0.03482,2.80449,2.38729,2.6299,0.000301414,0.000301414,0.000301414
2,117.436,2.29412,2.28033,2.1253,0.47765,0.54647,0.54756,0.24955,1.8581,1.6287,1.94482,0.000601422,0.000601422,0.000601422
3,161.975,1.71491,1.45746,1.66265,0.61688,0.7802,0.75686,0.42774,1.4902,1.37967,1.60129,0.00089843,0.00089843,0.00089843
4,206.474,1.43344,1.10532,1.42563,0.73924,0.8313,0.82369,0.54136,1.18971,0.93436,1.33335,0.000895501,0.000895501,0.000895501
5,251.641,1.25214,0.92022,1.28601,0.78337,0.88484,0.84309,0.57913,1.13718,0.77519,1.26684,0.000891002,0.000891002,0.000891002
6,297.726,1.1523,0.83096,1.20946,0.80487,0.91815,0.84752,0.66207,0.83914,0.63627,1.11047,0.000886502,0.000886502,0.000886502
7,343.061,1.07058,0.7655,1.15095,0.81949,0.93131,0.85008,0.64341,0.9193,0.63712,1.08338,0.000882003,0.000882003,0.000882003
8,388.283,1.00345,0.71202,1.10944,0.79952,0.89504,0.84991,0.66175,0.85171,0.64261,1.06102,0.000877503,0.000877503,0.000877503
9,433.582,0.97861,0.68168,1.08778,0.79856,0.92521,0.85618,0.67573,0.81663,0.59078,1.0292,0.000873004,0.000873004,0.000873004
10,478.746,0.91188,0.64208,1.06003,0.80903,0.91734,0.85735,0.67214,0.8552,0.61028,1.03592,0.000868504,0.000868504,0.000868504
11,524.005,0.88365,0.6195,1.03934,0.81983,0.94485,0.86254,0.71466,0.68507,0.53234,0.96763,0.000864004,0.000864004,0.000864004
12,568.822,0.85736,0.60449,1.0225,0.82872,0.93172,0.86683,0.72694,0.64517,0.50618,0.95481,0.000859505,0.000859505,0.000859505
13,615.8,0.82917,0.58834,1.00701,0.83068,0.95082,0.87128,0.74249,0.62878,0.50531,0.94324,0.000855005,0.000855005,0.000855005
14,660.864,0.79277,0.56408,0.99203,0.84162,0.96087,0.86952,0.73282,0.65542,0.48033,0.94643,0.000850506,0.000850506,0.000850506
15,705.768,0.77755,0.55405,0.98626,0.83509,0.94728,0.87702,0.75702,0.61114,0.48335,0.93173,0.000846006,0.000846006,0.000846006
16,751.279,0.75361,0.5338,0.97175,0.83243,0.93946,0.88017,0.74478,0.67279,0.48492,0.93692,0.000841507,0.000841507,0.000841507
17,796.339,0.74042,0.52653,0.96498,0.85687,0.93556,0.88615,0.76317,0.62002,0.45301,0.91336,0.000837007,0.000837007,0.000837007
18,841.286,0.71016,0.5118,0.95502,0.83852,0.92831,0.89599,0.78345,0.55194,0.4649,0.90012,0.000832508,0.000832508,0.000832508
19,886.155,0.70084,0.505,0.94999,0.86372,0.92813,0.89431,0.78166,0.55736,0.43149,0.89621,0.000828008,0.000828008,0.000828008
20,931.309,0.68977,0.49657,0.94522,0.86451,0.95,0.90024,0.80173,0.50729,0.40059,0.87281,0.000823509,0.000823509,0.000823509
21,976.565,0.68424,0.48735,0.93851,0.87262,0.93779,0.90529,0.79882,0.53482,0.41544,0.88056,0.000819009,0.000819009,0.000819009
22,1021.65,0.66572,0.47874,0.9319,0.85669,0.93857,0.90657,0.78416,0.59849,0.44421,0.89521,0.000814509,0.000814509,0.000814509
23,1066.57,0.65356,0.46719,0.92981,0.87817,0.93494,0.91911,0.80251,0.59135,0.43662,0.88193,0.00081001,0.00081001,0.00081001
24,1111.43,0.64291,0.46248,0.92562,0.87891,0.9449,0.92209,0.82597,0.48863,0.38147,0.85801,0.00080551,0.00080551,0.00080551
25,1156.44,0.63244,0.4522,0.92349,0.88381,0.93254,0.92759,0.84038,0.45773,0.37863,0.85136,0.000801011,0.000801011,0.000801011
26,1201.75,0.62875,0.44833,0.91413,0.89716,0.96015,0.94237,0.85779,0.44667,0.35267,0.842,0.000796511,0.000796511,0.000796511
27,1247.49,0.61917,0.44291,0.90935,0.88299,0.9496,0.92353,0.82841,0.49269,0.39902,0.86385,0.000792012,0.000792012,0.000792012
28,1292.62,0.61354,0.44047,0.90866,0.89988,0.95567,0.9457,0.85903,0.45252,0.34841,0.84727,0.000787512,0.000787512,0.000787512
