epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.435,4.42148,4.63942,3.60077,0.02823,0.09858,0.01955,0.00477,3.29814,3.97797,2.93661,0.00332134,0.00332134,0.00332134
2,129.031,2.44572,2.45779,2.20771,0.50853,0.60676,0.57871,0.25702,1.83213,1.59188,1.90765,0.00663272,0.00663272,0.00663272
3,193.417,1.8585,1.68934,1.71321,0.45978,0.51175,0.48082,0.15351,2.61641,2.7855,2.20386,0.00992209,0.00992209,0.00992209
4,265.28,1.57258,1.28493,1.4622,0.85941,0.91083,0.96442,0.5998,1.31368,1.00101,1.42249,0.009901,0.009901,0.009901
5,351.453,1.36388,1.04601,1.29795,0.95732,0.9481,0.98904,0.67683,1.11128,0.80795,1.22774,0.009868,0.009868,0.009868
6,424.197,1.22965,0.91223,1.20482,0.94059,0.95927,0.9868,0.70992,0.99208,0.73085,1.15475,0.009835,0.009835,0.009835
7,495.049,1.13791,0.82117,1.14364,0.98475,0.98887,0.99361,0.7369,0.94681,0.63387,1.06361,0.009802,0.009802,0.009802
8,574.895,1.06481,0.75424,1.10145,0.9878,0.99196,0.99447,0.78682,0.79352,0.55151,1.00536,0.009769,0.009769,0.009769
9,646.941,1.0172,0.69954,1.06642,0.8243,0.61303,0.73019,0.47711,1.49652,1.7148,1.38966,0.009736,0.009736,0.009736
10,753.369,0.96256,0.66151,1.04087,0.96917,0.96256,0.98338,0.74714,0.89181,0.60093,1.02659,0.009703,0.009703,0.009703
11,825.696,0.92544,0.62092,1.02109,0.99901,0.99923,0.99495,0.83886,0.65225,0.45124,0.923,0.00967,0.00967,0.00967
12,917.44,0.88804,0.59222,0.99796,0.9975,0.99891,0.99471,0.83189,0.66134,0.4569,0.92294,0.009637,0.009637,0.009637
13,975.955,0.86239,0.56616,0.98619,0.99576,0.99885,0.99457,0.84932,0.61813,0.43229,0.89991,0.009604,0.009604,0.009604
14,1040.95,0.84025,0.54537,0.97386,0.99537,0.98859,0.9942,0.80859,0.74145,0.45032,0.92163,0.009571,0.009571,0.009571
15,1101.55,0.80929,0.52738,0.9608,0.99914,1,0.99499,0.87198,0.5644,0.3871,0.87677,0.009538,0.009538,0.009538
16,1163.65,0.7933,0.51606,0.95133,0.99701,0.99785,0.995,0.85525,0.60496,0.40516,0.89658,0.009505,0.009505,0.009505
17,1225.69,0.76632,0.49629,0.94319,0.98287,0.99136,0.9939,0.84881,0.6452,0.42034,0.88199,0.009472,0.009472,0.009472
18,1287.69,0.74498,0.48329,0.93534,0.99749,1,0.99483,0.87757,0.54867,0.37644,0.87291,0.009439,0.009439,0.009439
19,1353.31,0.73572,0.4676,0.93025,0.99792,0.9991,0.99484,0.85954,0.60035,0.37941,0.87119,0.009406,0.009406,0.009406
20,1411.89,0.71409,0.46086,0.92498,0.99964,0.9995,0.995,0.884,0.5271,0.34712,0.84996,0.009373,0.009373,0.009373
